iter	Passed	Remaining
0	1	1213
1	2	1239
2	3	1220
3	4	1219
4	6	1230
5	7	1201
6	8	1171
7	9	1154
8	10	1139
9	11	1124
10	12	1126
11	13	1112
12	14	1099
13	15	1105
14	16	1093
15	17	1090
16	18	1086
17	19	1088
18	20	1077
19	21	1068
20	22	1060
21	23	1057
22	24	1054
23	25	1054
24	27	1054
25	28	1052
26	29	1055
27	30	1062
28	31	1065
29	33	1067
30	34	1074
31	35	1068
32	36	1065
33	37	1060
34	38	1057
35	39	1054
36	40	1054
37	41	1053
38	42	1048
39	43	1046
40	44	1051
41	46	1050
42	47	1049
43	48	1048
44	49	1044
45	50	1042
46	51	1038
47	52	1034
48	53	1032
49	54	1039
50	55	1039
51	56	1038
52	57	1034
53	59	1034
54	60	1036
55	61	1038
56	62	1037
57	63	1037
58	65	1036
59	65	1033
60	66	1029
61	68	1029
62	69	1028
63	70	1025
64	71	1023
65	72	1022
66	73	1021
67	74	1026
68	76	1029
69	77	1026
70	78	1025
71	79	1021
72	80	1018
73	81	1015
74	82	1014
75	83	1013
76	84	1011
77	85	1008
78	86	1006
79	87	1003
80	88	1001
81	89	1003
82	90	996
83	91	997
84	92	995
85	93	993
86	94	990
87	95	990
88	96	989
89	97	986
90	98	983
91	99	981
92	100	979
93	101	977
94	102	974
95	103	976
96	104	975
97	105	974
98	106	973
99	107	970
100	108	968
101	109	967
102	110	965
103	111	963
104	112	961
105	113	958
106	114	956
107	115	954
108	116	952
109	117	951
110	118	952
111	120	951
112	121	950
113	122	948
114	123	947
115	124	946
116	124	943
117	125	941
118	126	938
119	127	937
120	128	936
121	129	933
122	130	931
123	132	932
124	133	931
125	134	931
126	135	928
127	136	927
128	137	925
129	138	923
130	139	922
131	140	920
132	140	918
133	141	917
134	142	915
135	143	913
136	144	912
137	145	911
138	147	910
139	148	910
140	149	909
141	150	907
142	151	905
143	152	904
144	153	904
145	154	902
146	155	900
147	156	898
148	157	897
149	157	895
150	158	893
151	159	892
152	160	891
153	162	890
154	163	890
155	164	889
156	165	888
157	166	886
158	167	886
159	168	885
160	169	881
161	170	880
162	171	878
163	171	876
164	172	874
165	173	873
166	174	871
167	175	869
168	176	869
169	177	868
170	178	867
171	180	867
172	181	867
173	182	865
174	183	864
175	184	862
176	185	861
177	186	859
178	187	858
179	188	857
180	189	855
181	190	854
182	191	853
183	192	853
184	193	853
185	194	852
186	195	851
187	196	850
188	198	849
189	199	848
190	200	847
191	201	846
192	202	845
193	203	845
194	204	844
195	205	843
196	206	843
197	208	843
198	209	844
199	210	843
200	211	842
201	212	840
202	213	839
203	214	837
204	215	836
205	216	834
206	217	833
207	218	831
208	219	830
209	220	829
210	221	828
211	223	828
212	224	828
213	225	827
214	226	825
215	227	824
216	228	823
217	229	821
218	230	820
219	231	819
220	232	817
221	233	816
222	233	815
223	234	813
224	235	812
225	237	813
226	239	814
227	240	812
228	241	811
229	242	810
230	243	810
231	244	809
232	245	808
233	246	806
234	247	805
235	248	803
236	249	802
237	250	800
238	251	800
239	252	800
240	253	799
241	254	798
242	255	796
243	256	795
244	257	793
245	258	792
246	259	791
247	260	789
248	261	788
249	262	787
250	263	785
251	264	784
252	265	783
253	266	784
254	268	783
255	269	782
256	270	781
257	271	780
258	272	778
259	273	777
260	274	776
261	275	775
262	276	773
263	277	772
264	278	771
265	279	769
266	280	769
267	281	769
268	282	768
269	284	767
270	285	767
271	286	767
272	288	767
273	289	766
274	290	765
275	291	763
276	292	762
277	292	760
278	294	759
279	295	759
280	296	758
281	297	757
282	298	756
283	299	755
284	300	753
285	301	752
286	302	751
287	303	750
288	304	749
289	305	748
290	306	746
291	307	745
292	308	744
293	309	743
294	310	742
295	311	741
296	313	741
297	314	739
298	315	738
299	315	737
300	316	736
301	317	734
302	318	733
303	319	732
304	320	730
305	321	729
306	322	728
307	323	726
308	324	725
309	325	725
310	327	725
311	328	723
312	329	722
313	330	721
314	331	720
315	332	718
316	332	717
317	333	716
318	334	714
319	335	713
320	336	712
321	337	710
322	338	709
323	340	709
324	341	709
325	342	708
326	343	707
327	344	706
328	345	705
329	346	703
330	347	702
331	348	701
332	349	700
333	350	698
334	351	697
335	352	696
336	353	695
337	354	694
338	356	694
339	357	693
340	357	691
341	358	690
342	359	689
343	360	687
344	361	686
345	362	685
346	363	683
347	364	682
348	365	681
349	366	680
350	367	678
351	368	677
352	369	676
353	370	676
354	371	675
355	372	674
356	373	673
357	374	671
358	375	670
359	376	669
360	377	668
361	378	667
362	379	665
363	380	664
364	381	663
365	382	662
366	383	661
367	384	660
368	385	659
369	386	658
370	387	657
371	388	656
372	389	654
373	390	653
374	391	652
375	392	651
376	393	649
377	394	649
378	395	647
379	396	646
380	397	645
381	398	644
382	399	643
383	400	642
384	401	641
385	402	639
386	403	638
387	404	637
388	405	636
389	405	634
390	406	633
391	407	632
392	408	631
393	409	630
394	410	629
395	411	627
396	412	627
397	414	627
398	415	626
399	416	625
400	417	623
401	418	622
402	419	621
403	420	620
404	421	619
405	422	617
406	423	616
407	424	615
408	425	614
